1,Álex Abrines,SG,24.0,OKC,75.0,1134.0,9.0,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,0.0,1.3,1.0,2.2,0.094,0.0,-1.9,0.4,-1.5,0.1,abrinal01
2,Quincy Acy,PF,27.0,BRK,70.0,1359.0,8.2,0.525,0.8,0.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,0.0,-0.1,1.1,1.0,0.036,0.0,-2.6,0.1,-2.5,-0.2,acyqu01
3,Steven Adams,C,24.0,OKC,76.0,2487.0,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,0.0,6.7,3.0,9.7,0.187,0.0,1.7,-0.6,1.1,2.0,adamsst01
4,Bam Adebayo,C,20.0,MIA,69.0,1368.0,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,0.0,2.3,1.9,4.2,0.148,0.0,-1.1,0.7,-0.4,0.6,adebaba01
5,Arron Afflalo,SG,32.0,ORL,53.0,682.0,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,0.0,-0.1,0.2,0.1,0.009,0.0,-3.8,-1.5,-5.4,-0.6,afflaar01
6,Cole Aldrich,C,29.0,MIN,21.0,49.0,6.0,0.34,0.0,0.4,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,0.0,-0.1,0.1,0.0,-0.013,0.0,-6.8,-0.7,-7.5,-0.1,aldrico01
7,LaMarcus Aldridge,C,32.0,SAS,75.0,2509.0,25.0,0.57,0.068,0.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,0.0,7.4,3.5,10.9,0.209,0.0,4.3,-0.4,3.9,3.7,aldrila01
8,Jarrett Allen,C,19.0,BRK,72.0,1441.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,0.0,2.7,1.5,4.2,0.141,0.0,-0.9,0.1,-0.8,0.5,allenja01
9,Kadeem Allen,PG,25.0,BOS,18.0,107.0,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,0.0,-0.2,0.1,-0.1,-0.038,0.0,-8.3,0.6,-7.7,-0.2,allenka01
10,Tony Allen,SF,36.0,NOP,22.0,273.0,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,0.0,-0.2,0.2,0.1,0.017,0.0,-5.2,-0.3,-5.5,-0.2,allento01
11,Al-Farouq Aminu,PF,27.0,POR,69.0,2072.0,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.0,0.9,3.2,4.2,0.097,0.0,-0.7,1.1,0.4,1.3,aminual01
12,Justin Anderson,SF,24.0,PHI,38.0,519.0,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.0,0.6,0.7,1.2,0.115,0.0,-0.6,-0.3,-0.9,0.1,anderju01
13,Kyle Anderson,SF,24.0,SAS,74.0,1978.0,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,0.0,2.4,3.8,6.2,0.151,0.0,-0.4,3.3,2.9,2.4,anderky01
14,Ryan Anderson,PF,29.0,HOU,66.0,1725.0,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,0.0,3.1,1.7,4.8,0.132,0.0,0.9,-0.8,0.1,0.9,anderry01
15,Ike Anigbogu,C,19.0,IND,11.0,30.0,21.6,0.558,0.0,0.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.0,0.1,0.0,0.1,0.165,0.0,1.8,0.1,1.9,0.0,anigbik01
16,Giannis Antetokounmpo,PF,23.0,MIL,75.0,2756.0,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,0.0,8.3,3.6,11.9,0.207,0.0,5.3,0.9,6.2,5.7,antetgi01
17,Carmelo Anthony,PF,33.0,OKC,78.0,2501.0,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,0.0,1.2,2.5,3.7,0.071,0.0,-0.6,-1.3,-1.9,0.0,anthoca01
18,OG Anunoby,SF,20.0,TOR,74.0,1481.0,10.0,0.587,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,0.0,1.4,1.6,3.0,0.098,0.0,-1.2,0.6,-0.6,0.5,anunoog01
19,Ryan Arcidiacono,PG,23.0,CHI,24.0,304.0,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.0,0.1,0.2,0.3,0.04,0.0,-4.7,0.6,-4.1,-0.2,arcidry01
20,Trevor Ariza,SF,32.0,HOU,67.0,2269.0,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,0.0,2.6,2.8,5.3,0.113,0.0,0.0,0.7,0.7,1.5,arizatr01
21,Darrell Arthur,PF,29.0,DEN,19.0,141.0,8.4,0.559,0.489,0.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,0.0,-0.2,0.1,0.0,-0.011,0.0,-4.8,-0.5,-5.3,-0.1,arthuda01
22,Jamel Artis,SG,25.0,ORL,15.0,279.0,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,0.0,-0.1,0.1,0.0,-0.006,0.0,-3.8,-1.6,-5.4,-0.2,artisja01
